id,land_number,land_url,land_area,land_holding_point_personal,land_holding_point_all,yfcase_id,created_at,updated_at,landRemarks,landPresentValue,landTotalArea,landAreaWidth,landAreaDepth
1,1481,"",74.00,1,18,1,2020-07-20 06:31:02.756242,2020-07-20 06:31:02.756242,"","","","",""
2,708,"",102.00,1,12,2,2020-07-20 06:42:40.67916,2020-07-20 06:42:40.67916,"","","","",""
3,168,"",76.00,1,7,3,2020-07-20 06:51:10.246574,2020-07-20 06:51:10.246574,"","","","",""
4,290-759,"",166.00,1,12,4,2020-07-20 06:56:20.107756,2020-07-20 06:56:20.107756,"","","","",""
6,1588-2,"",75.55,1,3,6,2020-07-20 07:55:42.556917,2020-07-20 07:55:42.556917,"","","","",""
7,74-141,"",59.00,1,5,7,2020-07-20 08:00:39.477032,2020-07-20 08:00:39.477032,"","","","",""
8,212-6,"",756.00,374,60000,8,2020-07-20 08:04:52.274201,2020-07-20 08:04:52.274201,"","","","",""
10,96-10,https://drive.google.com/drive/folders/19qru68HgIO9M_wTfa5KeQyInRqu7GGr5,94.00,1,24,10,2020-07-20 08:12:54.69454,2020-07-20 08:12:54.69454,"","","","",""
11,277,"",195.92,1,4,11,2020-07-20 08:16:10.512342,2020-07-20 08:16:10.512342,"","","","",""
12,573,https://drive.google.com/drive/mobile/folders/1f6PtxeSiXVh4SZqTpK9DSJt7dBlf-5wb,202.45,1,20,14,2020-07-20 08:22:32.912043,2020-07-20 08:22:32.912043,"","","","",""
13,565,https://drive.google.com/drive/mobile/folders/1HtTsGVYYLsrgLmA6H0juIU_S-PpyPNG8,57.85,1,3,15,2020-07-20 08:25:12.116482,2020-07-20 08:25:12.116482,"","","","",""
14,567,https://drive.google.com/drive/mobile/folders/1HtTsGVYYLsrgLmA6H0juIU_S-PpyPNG8,11.82,1,3,15,2020-07-20 08:25:12.118754,2020-07-20 08:25:12.118754,"","","","",""
15,2965-23,https://drive.google.com/drive/mobile/folders/12Xo0A7PsAihvHXFfcQla0nmsZ7O-VJD7,2137.00,52,10000,16,2020-07-20 08:29:31.682226,2020-07-20 08:29:31.682226,"","","","",""
16,1248,"",31.00,4,6,17,2020-07-20 08:33:47.676332,2020-07-20 08:33:47.676332,"","","","",""
17,1249,"",35.00,4,6,17,2020-07-20 08:33:47.678709,2020-07-20 08:33:47.678709,"","","","",""
9,182,"",1183.00,315,60000,9,2020-07-20 08:08:41.521801,2020-07-20 09:19:31.975005,"","","","",""
5,1377,"",2311.00,101,50000,5,2020-07-20 07:49:29.126453,2020-07-20 09:27:25.694831,"","","","",""
19,1832,https://drive.google.com/drive/u/1/folders/1jrs2PEF43gToupM1KtKNRNqRcTELhiSw,683.58,1,96,18,2020-08-04 06:36:02.101481,2020-08-04 06:36:02.101481,"","","","",""
20,1832-1,https://drive.google.com/drive/u/1/folders/1jrs2PEF43gToupM1KtKNRNqRcTELhiSw,21.58,1,96,18,2020-08-04 06:36:02.119434,2020-08-04 06:36:02.119434,"","","","",""
21,391,https://drive.google.com/drive/u/1/folders/101EycYhst6wW3xUD2OYxnsc2jhUufc-V,77.13,1,2,19,2020-08-04 06:53:37.276451,2020-08-04 06:53:37.276451,"","","","",""
18,901,https://drive.google.com/drive/u/1/folders/1VhEp9cfB65HgsC-kFAt0mjU4wybrejiH,73.67,1,6,12,2020-07-20 10:20:05.911103,2020-08-05 08:33:01.545367,"",30500,73.67,23,4.9
22,385,"",134.74,1,25,20,2020-08-13 14:53:40.442566,2020-08-13 14:53:40.442566,"","","","",""
23,235-18,"",104.00,1,15,21,2020-08-13 15:15:54.14034,2020-08-13 15:15:54.14034,"","","","",""
24,288-0006,"",14.00,1,30,22,2020-08-13 15:29:41.504648,2020-08-13 15:29:41.504648,"","","","",""
25,292-14,"",77.00,1,30,22,2020-08-13 15:29:41.506701,2020-08-13 15:29:41.506701,"","","","",""
26,131-3,"",71.00,1,7,23,2020-08-13 15:43:35.817106,2020-08-13 15:43:35.817106,"","","","",""
27,98,"",135.83,1,8,24,2020-08-13 16:14:06.100606,2020-08-13 16:14:06.100606,"","","","",""
28, 321,"",154.00,1,120,25,2020-08-13 16:56:37.06783,2020-08-13 16:56:37.06783,"","","","",""
29,198-1,"",21.00,1,15,26,2020-08-13 17:19:54.233407,2020-08-13 17:19:54.233407,"","","","",""
30,199-4,"",101.00,1,15,26,2020-08-13 17:19:54.236195,2020-08-13 17:19:54.236195,"","","","",""
