id,address,total_price,build_area,house_age,floor_height,objectbuild_url,surveyora,surveyorb,plusa,plusb,yfcase_id,created_at,updated_at,objectbuild_status,plusa_reason,plusb_reason,objectBuildDealYear,objectBuildDealMonth
1,板橋區四川路一段241~270號,9000000,17.79,49.00,3,"",,,,,1,2020-07-20 06:31:02.772971,2020-07-20 06:31:02.772971,自訂,,,,
18,七堵區泰安路2巷1~30號,3500000,25.21,,2/4,"",張浩文,,0.80,,9,2020-07-20 08:08:41.527304,2020-07-20 09:19:57.839929,自訂,"",,,
17,七堵區泰和街61~90號,3350000,28.36,29.00,3/4,"",,,,,9,2020-07-20 08:08:41.525758,2020-07-20 08:08:41.525758,自訂,,,,
14,南區國華街一段91~120號(108/07),4500000,29.09,47.90,2,https://evertrust.yungching.com.tw/map?q=&lat=22.6110190101813&lng=120.267889946231&d=0&t=&a=&c=,劉家彰,曾友和,0.30,0.35,7,2020-07-20 08:00:39.484563,2020-07-20 09:33:42.522096,自訂,更近市區,0.7 無尾巷、0.5 未辦保存登記,,
13,南區國華街一段61~90號(108/11),4880000,30.65,48.70,2,https://evertrust.yungching.com.tw/map?q=&lat=22.6110190101813&lng=120.267889946231&d=0&t=&a=&c=,劉家彰,曾友和,0.35,0.35,7,2020-07-20 08:00:39.482371,2020-07-20 09:34:08.331432,自訂,無尾巷2m巷寬未辦保存登記,0.7 無尾巷、0.5 未辦保存登記,,
2,板橋區忠孝路132巷1~30號,6850000,21.18,47.20,2/3,"",張浩文,曾友和,0.80,0.75,2,2020-07-20 06:42:40.685418,2020-07-20 09:49:34.451475,自訂,"","",,
3,板橋區忠孝路154巷31~60號,7000000,24.58,44.70,2/4,"",張浩文,曾友和,0.75,0.70,2,2020-07-20 06:42:40.687013,2020-07-20 09:49:40.087807,自訂,"","",,
32,中西區健康路一段151~180號 (109/06公寓),3880000,37.57,36.10,3/5,"",劉家彰,曾友和,0.98,1.10,18,2020-08-04 06:44:00.224959,2020-08-06 14:08:27.906687,自訂,頂樓加價,"",,
31,中西區健康路一段150巷1~30號 (108/09公寓),4380000,40.55,34.10,5/5,"",劉家彰,曾友和,1.05,1.10,18,2020-08-04 06:44:00.223098,2020-08-06 14:07:52.078874,自訂,去年價錢,"",,
35,健康路一段170巷1~30號(107/05),3300000,30.00,38.00,3/4,"",劉家彰,曾友和,1.15,1.10,18,2020-08-06 12:47:17.523576,2020-08-06 14:08:56.265151,自訂,漲價,"",,
36, 健康一段170巷1~30號(107/02),3950000,30.00,37.00,4/4,"",劉家彰,曾友和,1.10,0.95,18,2020-08-06 12:49:02.201571,2020-08-06 14:09:16.530942,自訂,漲價頂樓,"",,
25,白河區中正路121~150號,5180000,62.35,13.60,1/4,"",,,,,17,2020-07-20 08:33:47.68414,2020-09-02 02:52:33.811939,自訂,,,"",""
26,白河區中正路121~150號,5500000,62.57,14.10,1/4,"",,,,,17,2020-07-20 08:33:47.686365,2020-09-02 02:52:33.814364,自訂,,,"",""
22,安平區安平路370巷3弄1~30號,3400000,28.52,44.70,2/4,https://goo.gl/maps/psYVs2UkDkfvtdY96,劉家彰,曾友志,1.00,1.00,14,2020-07-20 08:22:32.917347,2020-09-03 01:07:21.512315,自訂,相類似物件 同在二樓無需加成,相類似物件,"",""
29,信義街44巷1~30號(106/12),5200000,58.44,24.00,全/4,"",劉家彰,曾友志,1.10,1.00,16,2020-08-04 03:46:00.399067,2020-09-10 02:53:57.29361,自訂,參考106年到100年間 房地產增值,1.1,"",""
16,板橋區懷德街66巷1~30號,12360000,32.45,48.30,2/5,"",張浩文,曾友和,0.60,0.60,8,2020-07-20 08:04:52.28515,2020-10-07 09:15:21.370024,自訂,"","","",""
15,板橋區仁化街64巷1~30號,8350000,23.55,46.30,2/3,"",張浩文,曾友和,0.65,0.60,8,2020-07-20 08:04:52.282747,2020-10-07 09:15:21.37201,自訂,"","","",""
4,武德街135巷1~30號,4250000,22.14,48.00,2,"",,,,,3,2020-07-20 06:51:10.255065,2021-03-14 13:01:53.531676,自訂,,,"",""
21,復興路1~30號,2680000,49.67,26.00,4,"",曾昱銓,,1.10,,11,2020-07-20 08:16:10.517844,2021-03-14 13:02:20.288169,自訂,實際坪數約80坪	,,"",""
51,大安里大安街241~270號	(242號),6300000,32.51,38.00,全/2(108/12),"",,,,,30,2020-08-25 10:34:58.549831,2021-04-13 17:06:26.37252,自訂,,,"",""
53, -大安街257巷1~30號(4號) 	 		 	,3500000,26.17,38.00,全/2,"",,,,,30,2020-08-25 10:41:41.157634,2021-04-13 17:06:26.377473,自訂,,,"",""
10,安南區安通路四段119巷27弄1~30號,6600000,34.66,38.00,透天,https://evertrust.yungching.com.tw/region/%E5%8F%B0%E5%8D%97%E5%B8%82/%E5%AE%89%E5%8D%97%E5%8D%80?kw=%E5%AE%89%E9%80%9A%E8%B7%AF%E5%9B%9B%E6%AE%B5,曾友和,曾昱銓,1.00,1.10,6,2020-07-20 07:55:42.562236,2021-04-13 17:07:50.61698,自訂,"","","",""
12,安通路四段119巷27弄1號（**仲介））,7000000,29.43,38.00,透天,"",曾友和,曾昱銓,0.90,1.00,6,2020-07-20 07:56:50.531189,2021-04-13 17:07:50.618614,仲介,"","","",""
8,東區前鋒路61~90號,4500000,32.00,37.00,6,https://evertrust.yungching.com.tw/map?q=&lat=22.6110190101813&lng=120.267889946231&d=0&t=&a=&c=,曾友和,曾昱銓,0.90,0.90,5,2020-07-20 07:51:48.207215,2021-04-13 17:11:19.520405,自訂,"","","",""
9,東區前鋒路61~90號,3200000,32.00,37.00,3,https://evertrust.yungching.com.tw/map?q=&lat=22.6110190101813&lng=120.267889946231&d=0&t=&a=&c=,曾友和,曾昱銓,1.15,1.10,5,2020-07-20 07:51:48.209019,2021-04-13 17:11:19.521905,自訂,"","","",""
19,板橋區懷德街78巷1~30號,6450000,19.46,45.00,4/4,"https://www.google.com.tw/maps/place/220%E6%96%B0%E5%8C%97%E5%B8%82%E6%9D%BF%E6%A9%8B%E5%8D%80%E6%87%B7%E5%BE%B7%E8%A1%9778%E5%B7%B71%E8%99%9F/@25.0315844,121.4782618,3a,75y,169.14h,89.6t/data=!3m7!1e1!3m5!1sXpaKTjjfXSQKPgCUvzx77A!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DXpaKTjjfXSQKPgCUvzx77A%26output%3Dthumbnail%26cb_client%3Dsearch.gws-prod.gps%26thumb%3D2%26w%3D86%26h%3D86%26yaw%3D182.28134%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m8!1m2!2m1!1z5p2_5qmL5Y2A5oe35b636KGXNzjlt7cxfjMw6Jmf!3m4!1s0x3442a845c3183079:0x7c82dda16d74a051!8m2!3d25.0314992!4d121.4782531",,,,,10,2020-07-20 08:12:54.69991,2021-04-14 04:38:27.770409,自訂,,,"",""
33, 復國二路16巷1~30號(108/05),6500000,39.72,31.00,2/2,https://lvr.land.moi.gov.tw/,劉家彰,曾友志,0.80,1.00,19,2020-08-04 07:04:24.309088,2021-06-30 04:49:59.433863,自訂,拍賣物含未辦保存登記面積32.27坪，實價登錄未含。,0.8,"",""
