id,build_number,build_url,build_area,build_holding_point_personal,build_holding_point_all,build_type_use,use_partition,yfcase_id,created_at,updated_at,buildCity,buildTownship,buildArea,buildStreet,buildRoad,buildSegment,buildLane,buildDo,buildNumber,buildFloor,buildBigSegment,buildSmallSegment,buildLot,buildLevel1,buildLevel2,buildLevel3,buildLevel4,buildOther1,buildOther2,buildUse,buildScopeOfArea,buildScopeOfRights,buildRemarks,buildTotalArea,buildLandNumber,mainBuildLevel1,mainBuildLevel2,mainBuildLevel3,mainBuildLevel4,mainBuildLevel5,mainBuildConstruction1,mainBuildConstruction2,mainBuildConstruction3,mainBuildConstruction4,mainBuildConstruction5,mainBuildArea1,mainBuildArea2,mainBuildArea3,mainBuildArea4,mainBuildArea5,publicBuildNumber1,publicBuildNumber2,publicBuildNumber3,publicBuildNumber4,publicBuildArea1,publicBuildArea2,publicBuildArea3,publicBuildArea4,publicBuildHP1,publicBuildHP2,publicBuildHP3,publicBuildHP4,subBuildUse1,subBuildUse2,subBuildUse3,subBuildArea1,subBuildArea2,subBuildArea3
1,135,"",73.76,1,18,2透天厝,第一種住宅區,1,2020-07-20 06:31:02.762886,2020-07-20 06:31:02.762886,,,,,"",,"","","","",,,"","","","","","","","","",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3441,"",120.75,1,18,2透天厝,第一種住宅區,1,2020-07-20 06:31:02.769472,2020-07-20 06:31:02.769472,,,,,"",,"","","","",,,"","","","","","","","","",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,188,"",65.60,1,4,1公寓(5樓含以下無電梯),第一種住宅區,2,2020-07-20 06:42:40.680946,2020-07-20 06:42:40.680946,,,,,"",,"","","","",,,"","","","","","","","","",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4245,"",46.41,1,4,1公寓(5樓含以下無電梯),第一種住宅區,2,2020-07-20 06:42:40.683137,2020-07-20 06:42:40.683137,,,,,"",,"","","","",,,"","","","","","","","","",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,27371,"",151.96,1,5,2透天厝,第一種住宅區,7,2020-07-20 08:00:39.479306,2020-07-20 08:00:39.479306,,,,,"",,"","","","",,,"","","","","","","","","",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,806,"",110.12,1,6,1公寓(5樓含以下無電梯),第一種住宅區,9,2020-07-20 08:08:41.523516,2020-07-20 08:08:41.523516,,,,,"",,"","","","",,,"","","","","","","","","",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2583,https://drive.google.com/drive/u/1/folders/1jrs2PEF43gToupM1KtKNRNqRcTELhiSw,80.10,1,6,1公寓(5樓含以下無電梯),第一種住宅區,18,2020-08-04 06:36:02.121963,2020-08-08 08:14:02.600163,,,,,"","","","","","",,,"","","","","","","","","",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2590,https://drive.google.com/drive/u/0/folders/1jrs2PEF43gToupM1KtKNRNqRcTELhiSw,152.46,1,8,0公設,第一種住宅區,18,2020-08-06 12:33:13.651031,2020-08-08 08:14:02.6154,,,,,"","","","","","",,,"","","","","","","","","",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4220,"",71.75,1,3,1公寓(5樓含以下無電梯),第一種住宅區,21,2020-08-13 15:15:54.144194,2020-08-13 15:15:54.144194,,,,,"","","","","","",,,,"","","","","","","","",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1066,"",123.26,1,7,2透天厝,第一種住宅區,23,2020-08-13 15:43:35.83582,2020-08-13 15:43:35.83582,,,,,"","","","","","",,,,"","","","","","","","",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,774,https://drive.google.com/drive/u/1/folders/1VhEp9cfB65HgsC-kFAt0mjU4wybrejiH,84.37,1,6,2透天厝,第一種住宅區,12,2020-07-20 10:20:05.912932,2020-08-31 01:26:02.435944,,,,,西門路,1,702,2,17,"",,,南門段,57.75,12.83,"","","","","",9.25,,"","",18,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
38,2295,https://drive.google.com/drive/u/0/folders/1pjirqcgu2zxwIttOFt8L-hOALQpTEqdn,122.64,1,2,2透天厝,第一種住宅區,28,2020-08-21 07:49:16.266374,2020-08-31 11:34:18.931888,,,,,"","","","","","",,,,"","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
37,增建陽台,"",2.45,1,2,12增建(持分後坪數打對折),第一種住宅區,27,2020-08-21 07:04:06.074982,2020-08-31 16:53:46.657656,,,,,"","","","","","",,,,"","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
36,470,https://drive.google.com/drive/u/0/folders/1QX6gi-7A1zXACyYmRTHEizUJIE_kJhXN,94.54,1,2,3店面(店舖),第一種住宅區,27,2020-08-21 07:04:06.07265,2020-08-31 16:53:46.666872,,,,,"","","","","","",,,,"","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
18,98,"",88.60,1,3,2透天厝,第一種住宅區,15,2020-07-20 08:25:12.121018,2020-09-01 02:13:43.464107,,,,,"","","","","","",,,"","","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
20,242,"",144.90,4,6,2透天厝,第一種住宅區,17,2020-07-20 08:33:47.681012,2020-09-02 02:52:33.792906,,,,,"","","","","","",,,"","","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
44,721,"",109.16,1,2,2透天厝,第一種住宅區,33,2020-09-02 06:02:56.987102,2020-09-02 06:02:56.987102,,,,,"","","","","","",,,,"","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
45,2761,"",119.71,1,2,12增建(持分後坪數打對折),第一種住宅區,33,2020-09-02 06:06:25.058651,2020-09-02 06:06:25.058651,,,,,"","","","","","",,,,"","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17,984,"",100.99,1,5,1公寓(5樓含以下無電梯),第一種住宅區,14,2020-07-20 08:22:32.914319,2020-09-03 01:07:21.495444,,,,,"","","","","","",,,"","","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
33,1639,"",113.23,1,24,1公寓(5樓含以下無電梯),第一種住宅區,25,2020-08-13 16:56:37.070632,2020-09-05 09:30:03.190754,,,,,"","","","","","",,,,"","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35,2036,"",86.42,1,3,1公寓(5樓含以下無電梯),第三種住宅區,26,2020-08-13 17:19:54.238035,2020-09-05 09:40:26.685087,,,,,"","","","","","",,,,"","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32,1450,"",97.60,1,2,1公寓(5樓含以下無電梯),第一種住宅區,24,2020-08-13 16:14:06.1085,2020-09-05 09:47:02.521833,,,,,"","","","","","",,,,"","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
