id,name,zip_code,district_court,land_office,finance_and_tax_bureau,police_station,irs,home_office,country_id,created_at,updated_at
1,中正區,100,臺北,古亭,中正分處,"","","",1,2020-07-20 02:58:30.977377,2020-07-20 02:58:30.977377
2,大同區,103,士林,建成,大同分處,"","","",1,2020-07-20 02:58:30.981416,2020-07-20 02:58:30.981416
3,中山區,104,臺北,中山,中山分處,"","","",1,2020-07-20 02:58:30.985016,2020-07-20 02:58:30.985016
4,松山區,105,臺北,松山,松山分處,"","","",1,2020-07-20 02:58:30.988437,2020-07-20 02:58:30.988437
5,大安區,106,臺北,大安,大安分處,"","","",1,2020-07-20 02:58:30.991823,2020-07-20 02:58:30.991823
6,萬華區,108,臺北,建成,萬華分處,"","","",1,2020-07-20 02:58:30.9953,2020-07-20 02:58:30.9953
7,信義區,110,臺北,松山,信義分處,"","","",1,2020-07-20 02:58:30.999881,2020-07-20 02:58:30.999881
8,士林區,111,士林,士林,士林分處,"","","",1,2020-07-20 02:58:31.003297,2020-07-20 02:58:31.003297
9,北投區,112,士林,士林,北投分處,"","","",1,2020-07-20 02:58:31.006739,2020-07-20 02:58:31.006739
10,內湖區,114,士林,中山,內湖分處,"","","",1,2020-07-20 02:58:31.010276,2020-07-20 02:58:31.010276
11,南港區,115,士林,松山,南港分處,"","","",1,2020-07-20 02:58:31.013228,2020-07-20 02:58:31.013228
12,文山區,116,臺北,古亭,文山分處,"","","",1,2020-07-20 02:58:31.016211,2020-07-20 02:58:31.016211
13,仁愛區,200,基隆,信義,總局,"","","",2,2020-07-20 02:58:31.019061,2020-07-20 02:58:31.019061
14,信義區,201,臺北,松山,信義分處,"","","",2,2020-07-20 02:58:31.021964,2020-07-20 02:58:31.021964
15,中正區,202,臺北,古亭,中正分處,"","","",2,2020-07-20 02:58:31.024874,2020-07-20 02:58:31.024874
16,中山區,203,臺北,中山,中山分處,"","","",2,2020-07-20 02:58:31.02769,2020-07-20 02:58:31.02769
17,安樂區,204,基隆,安樂,總局,"","","",2,2020-07-20 02:58:31.030548,2020-07-20 02:58:31.030548
18,暖暖區,205,基隆,安樂,七堵分局,"","","",2,2020-07-20 02:58:31.033377,2020-07-20 02:58:31.033377
19,七堵區,206,基隆,安樂,七堵分局,"","","",2,2020-07-20 02:58:31.036207,2020-07-20 02:58:31.036207
20,萬里區,207,基隆,汐止,淡水分處,"","","",3,2020-07-20 02:58:31.038994,2020-07-20 02:58:31.038994
21,金山區,208,基隆,汐止,淡水分處,"","","",3,2020-07-20 02:58:31.042079,2020-07-20 02:58:31.042079
22,板橋區,220,新北,板橋,板橋分處,"","","",3,2020-07-20 02:58:31.04496,2020-07-20 02:58:31.04496
23,汐止區,221,士林,汐止,汐止分處,"","","",3,2020-07-20 02:58:31.057616,2020-07-20 02:58:31.057616
24,深坑區,222,臺北,新店,新店分處,"","","",3,2020-07-20 02:58:31.060635,2020-07-20 02:58:31.060635
25,石碇區,223,臺北,新店,新店分處,"","","",3,2020-07-20 02:58:31.063495,2020-07-20 02:58:31.063495
26,瑞芳區,224,基隆,瑞芳,瑞芳分處,"","","",3,2020-07-20 02:58:31.066475,2020-07-20 02:58:31.066475
